PARTICIPANT_ID	TEST_SECTION_ID	PRESS_TIME	RELEASE_TIME	LETTER
1	1	1641239825.5790086	1641239825.6744874	p
1	1	1641239825.658735	1641239825.7470026	y
1	1	1641239825.8261988	1641239825.986493	t
1	1	1641239825.9067733	1641239826.018395	h
1	1	1641239825.9547682	1641239826.0588474	o
1	1	1641239826.0989687	1641239826.1866179	n
1	1	1641239826.1710207	1641239826.2747838	space
1	1	1641239825.9067733	1641239826.3711443	h
1	1	1641239826.3148608	1641239826.4505515	a
1	1	1641239826.386822	1641239826.538322	s
1	1	1641239826.3148608	1641239826.6591725	a
1	1	1641239826.1710207	1641239826.7469697	space
1	1	1641239826.8668342	1641239826.994889	k
1	1	1641239826.9868886	1641239827.1389997	e
1	1	1641239825.658735	1641239827.1785858	y
1	1	1641239827.274827	1641239827.3872075	b
1	1	1641239825.9547682	1641239827.4746513	o
1	1	1641239826.3148608	1641239827.618881	a
1	1	1641239827.5467904	1641239827.651165	r
1	1	1641239827.7149608	1641239827.8430002	d
1	1	1641239826.1710207	1641239827.9060028	space
1	1	1641239827.8980033	1641239828.018367	m
1	1	1641239825.9547682	1641239828.0662804	o
1	1	1641239827.7149608	1641239828.1544862	d
1	1	1641239828.1310008	1641239828.274576	u
1	1	1641239828.2106016	1641239828.298835	l
1	1	1641239826.9868886	1641239828.3549316	e
1	1	1641239826.1710207	1641239828.426952	space
1	1	1641239828.4185023	1641239828.5308735	w
1	1	1641239828.474749	1641239828.554749	i
1	1	1641239825.8261988	1641239828.691139	t
1	1	1641239825.9067733	1641239828.7150035	h
1	1	1641239826.1710207	1641239828.8110733	space
1	1	1641239827.8980033	1641239828.9069057	m
1	1	1641239826.3148608	1641239828.9467216	a
1	1	1641239826.0989687	1641239829.0666895	n
1	1	1641239825.658735	1641239829.1065605	y
1	1	1641239826.1710207	1641239829.203287	space
1	1	1641239829.2344987	1641239829.3629851	f
1	1	1641239826.9868886	1641239829.4749346	e
1	1	1641239826.3148608	1641239829.498326	a
1	1	1641239825.8261988	1641239829.531144	t
1	1	1641239828.1310008	1641239829.6105356	u
1	1	1641239827.5467904	1641239829.7313094	r
1	1	1641239826.9868886	1641239829.7944608	e
1	1	1641239826.386822	1641239829.84325	s
1	1	1641239826.1710207	1641239829.8589005	space
1	1	1641239828.474749	1641239829.9632418	i
1	1	1641239826.0989687	1641239829.9945853	n
1	1	1641239826.386822	1641239830.0668032	s
1	1	1641239825.8261988	1641239830.1067429	t
1	1	1641239828.2106016	1641239830.170752	l
1	1	1641239826.3148608	1641239830.1786327	a
1	1	1641239828.2106016	1641239830.2985237	l
1	1	1641239826.1710207	1641239830.3950815	space
1	1	1641239828.474749	1641239830.4669726	i
1	1	1641239825.8261988	1641239830.5791717	t
1	1	1641239826.1710207	1641239830.6266253	space
1	1	1641239825.5790086	1641239830.6588464	p
1	1	1641239826.9868886	1641239830.810453	e
1	1	1641239827.5467904	1641239830.843092	r
1	1	1641239825.9067733	1641239830.8586617	h
1	1	1641239826.3148608	1641239830.986589	a
1	1	1641239825.5790086	1641239831.034954	p
1	1	1641239826.386822	1641239831.1300306	s
1	1	1641239826.1710207	1641239831.2032182	space
1	1	1641239828.4185023	1641239831.307084	w
1	1	1641239828.474749	1641239831.3468778	i
1	1	1641239825.8261988	1641239831.4744096	t
1	1	1641239825.9067733	1641239831.5230968	h
